Word, Length, #Unique Characters, Optimal Guesses Required, Optimal Incorrect Guesses Required, Optimal Guesses, Optimal options at 10, Easy Guesses Required, Easy Incorrect Guesses Required, Easy options at 10
unhidden, 8, 6, 7, 1, e s d i n u h,0,9,5,0
unhindered, 10, 7, 4, 0, e r d u,0,5,3,0
unhinge, 7, 6, 4, 1, e a i u,0,6,3,0
unhinged, 8, 7, 9, 4, e s d a o i u n k,0,9,5,0
unholy, 6, 6, 9, 4, e a i o u n l d y,0,9,6,0
unhonoured, 10, 7, 5, 2, e s d t n,0,5,3,0
unhook, 6, 5, 6, 4, e a i o u t,0,6,4,0
unhooked, 8, 7, 9, 2, e s d a o u k n h,0,9,5,0
unhooks, 7, 6, 7, 4, e i a o s u t,0,6,4,0
unhoped, 7, 7, 13, 7, e r d l s t c u n i o v p,0,9,5,0
unhuman, 7, 5, 5, 3, e i a o u,0,6,4,0
unhurried, 9, 7, 6, 1, e s d n u r,0,8,4,0
unhurriedly, 11, 9, 4, 1, e s y r,0,5,3,0
unhurt, 6, 5, 8, 4, e a i o u n r t,0,7,5,0
unhygienic, 10, 8, 3, 1, e s i,0,5,3,0
unhyphenated, 12, 9, 6, 1, i e t d a n,0,4,1,0
unicameral, 10, 9, 4, 1, e s i l,0,3,1,0
unicellular, 11, 8, 3, 0, e n l,0,4,2,0
unicorn, 7, 6, 6, 1, e i r o u n,0,6,3,0
unicorns, 8, 7, 8, 2, e i a s u r o n,0,6,3,0
unicycle, 8, 7, 5, 2, e a i r n,0,5,3,0
unicycles, 9, 8, 7, 0, e s i l y c n,0,6,3,0
unicyclist, 10, 8, 4, 1, e i n t,0,5,3,0
unicyclists, 11, 8, 3, 1, e i s,0,5,3,0
unideal, 7, 7, 5, 2, e s r n i,0,6,2,0
unidentifiable, 14, 10, 1, 0, i,0,4,1,0
unidentified, 12, 7, 2, 0, i n,0,4,2,0
unidirectional, 14, 11, 1, 0, i,0,4,0,0
unifiable, 9, 8, 3, 0, e a i,0,5,2,0
unification, 11, 8, 5, 1, e i t a n,0,5,1,0
unified, 7, 6, 10, 5, e r d l s t c u n i,0,8,5,0
unifier, 7, 6, 5, 1, e r i s u,0,8,4,0
unifies, 7, 6, 8, 3, e r d s i n u t,0,7,3,0
uniform, 7, 7, 6, 1, e i r o u n,0,6,3,0
uniformed, 9, 9, 7, 2, e s d n u c r,0,6,2,0
uniformity, 10, 9, 4, 1, e i n t,0,5,2,0
uniformly, 9, 9, 6, 1, e i o y l n,0,6,3,0
uniforms, 8, 8, 8, 2, e i a s u r o n,0,6,3,0
unify, 5, 5, 12, 8, e s a o i l r h y u n t,0,7,5,0
unifying, 8, 6, 5, 1, e i n g f,0,7,5,0
unilateral, 10, 8, 6, 1, e s i l a r,0,4,1,0
unilateralism, 13, 10, 2, 0, i t,0,3,0,0
unilateralist, 13, 9, 2, 0, i t,0,2,0,0
unilaterally, 12, 9, 5, 0, i e t r n,0,4,1,0
unillustrated, 13, 10, 3, 0, i n e,0,3,0,0
unimaginable, 12, 9, 9, 1, i l b n g a m u y,0,4,2,0
unimaginably, 12, 9, 9, 0, i l b n g a m u y,0,4,3,0
unimaginative, 13, 9, 2, 0, i n,0,4,1,0
unimaginatively, 15, 11, 1, 0, i,0,4,1,0
unimagined, 10, 8, 5, 2, e s d t n,0,5,2,0
unimpaired, 10, 9, 7, 2, e s d t n u r,0,5,2,0
unimpeachable, 13, 11, 3, 0, i n e,0,2,1,0
unimpeded, 9, 7, 6, 1, e r d p m i,0,7,4,0
unimplementable, 15, 10, 2, 0, i t,0,1,0,0
unimplemented, 13, 9, 2, 0, i n,0,2,0,0
unimportance, 12, 11, 2, 0, i e,0,4,0,0
unimportant, 11, 9, 4, 1, e i o t,0,4,1,0
unimpressed, 11, 9, 4, 0, e s d r,0,6,3,0
unimpressive, 12, 9, 2, 0, i e,0,3,2,0
unimproved, 10, 10, 10, 2, e s d t n u r v o p,0,5,2,0
unincorporated, 14, 11, 3, 0, i n e,0,4,0,0
uninfected, 10, 8, 3, 1, e r n,0,6,2,0
uninfluenced, 12, 8, 3, 0, i e n,0,5,3,0
uninformative, 13, 11, 3, 0, i t a,0,4,0,0
uninformatively, 15, 13, 2, 0, i l,0,3,0,0
uninformed, 10, 9, 9, 3, e s d t n o i u l,0,8,3,0
uninhabitable, 13, 9, 2, 0, i l,0,3,0,0
uninhabited, 11, 9, 3, 0, e i t,0,3,0,0
uninhibited, 11, 8, 3, 0, e i t,0,5,2,0
uninhibitedly, 13, 10, 1, 0, i,0,4,2,0
uninitialised, 13, 9, 7, 0, i d s l a t n,0,5,1,0
uninitiated, 11, 7, 2, 0, e i,0,5,1,0
uninjured, 9, 7, 5, 1, e s d n i,0,7,4,0
uninspired, 10, 8, 4, 1, e s d a,0,5,3,0
uninspiring, 11, 7, 3, 2, e i a,0,5,4,0
uninsulated, 11, 9, 3, 0, e i l,0,5,1,0
uninsurable, 11, 9, 5, 0, e a l b u,0,5,2,0
uninsured, 9, 7, 3, 0, e s i,0,7,3,0
unintellectual, 14, 8, 3, 0, i n e,0,5,1,0
unintelligent, 13, 7, 2, 0, i n,0,2,0,0
unintelligible, 14, 8, 1, 0, i,0,3,1,0
unintended, 10, 6, 4, 1, e r n d,0,4,2,0
unintentional, 13, 8, 2, 0, i n,0,2,0,0
unintentionally, 15, 9, 1, 0, i,0,2,0,0
uninterested, 12, 8, 2, 0, i e,0,2,0,0
uninterestedly, 14, 10, 3, 0, i n e,0,1,0,0
uninteresting, 13, 8, 3, 0, i t g,0,2,0,0
uninterpretable, 15, 10, 4, 0, i t l p,0,1,0,0
uninterpreted, 13, 8, 4, 0, i n d p,0,1,0,0
uninterrupted, 13, 8, 4, 0, i n d p,0,3,1,0
uninterruptedly, 15, 10, 4, 0, i t l p,0,1,0,0
unintuitive, 11, 6, 3, 1, e a i,0,3,1,0
uninvented, 10, 7, 4, 1, e r n d,0,6,2,0
uninvited, 9, 7, 5, 1, e s d n i,0,5,2,0
uninviting, 10, 6, 4, 1, e i g n,0,5,3,0
uninvolved, 10, 8, 9, 2, e s d t n o i u l,0,8,4,0
union, 5, 4, 6, 3, e s a o i n,0,6,3,0
unionisation, 12, 7, 2, 0, i t,0,5,1,0
unionised, 9, 7, 4, 0, e s d i,0,5,2,0
unionism, 8, 6, 7, 2, e i n s o u t,0,5,3,0
unionist, 8, 6, 7, 1, e i n s o u t,0,5,2,0
unionists, 9, 6, 3, 1, e i n,0,4,2,0
unions, 6, 5, 7, 3, e a i s l n o,0,6,3,0
unipolar, 8, 8, 4, 1, e i a r,0,5,2,0
unique, 6, 5, 5, 2, e l i r n,0,6,3,0
uniquely, 8, 7, 7, 2, e s t l y n u,0,7,4,0
uniqueness, 10, 6, 3, 0, e s n,0,6,3,0
unisex, 6, 6, 6, 3, e r d s o n,0,7,3,0
unison, 6, 5, 6, 3, e a i s y n,0,6,3,0
unisons, 7, 5, 5, 3, e i r l n,0,6,3,0
unissued, 8, 6, 3, 0, e s i,0,7,3,0
unit, 4, 4, 8, 5, e a o i t s r u,0,13,9,2
unitary, 7, 7, 6, 2, e i r o y n,0,6,2,0
unite, 5, 5, 8, 4, e a o i r s t u,0,6,2,0
united, 6, 6, 9, 4, e r d a o i s n t,0,7,3,0
unites, 6, 6, 8, 4, e r d s l i n k,0,7,2,0
unities, 7, 6, 8, 2, e r d s i n u t,0,5,2,0
uniting, 7, 5, 5, 1, e i n g t,0,6,3,0
units, 5, 5, 7, 3, e s a o i t u,0,13,8,0
unity, 5, 5, 12, 7, e s a o i l r h y u n t,0,7,4,0
universal, 9, 9, 3, 0, e i s,0,5,2,0
universalism, 12, 10, 10, 1, i e a l s r v n u t,0,3,1,0
universalist, 12, 10, 10, 0, i e a l s r v n u t,0,2,0,0
universality, 12, 11, 5, 0, i e a l s,0,4,1,0
universally, 11, 10, 3, 0, e n l,0,5,2,0
universals, 10, 9, 3, 0, e i s,0,5,2,0
universe, 8, 7, 4, 0, e n s r,0,5,3,0
universes, 9, 7, 5, 0, e s r v n,0,6,3,0
universities, 12, 8, 2, 0, i n,0,4,2,0
university, 10, 9, 3, 0, e i n,0,5,2,0
unjam, 5, 5, 8, 4, e s a o i u n m,0,8,6,0
unjammed, 8, 7, 7, 1, e s d a n u m,0,14,8,0
unjamming, 9, 7, 8, 3, e i n g u a y k,0,12,9,1
unjaundiced, 11, 8, 4, 1, e i s a,0,5,2,0
unjust, 6, 5, 8, 5, e a i o u n r t,0,7,4,0
unjustifiable, 13, 11, 11, 1, i n b s l a f t j u y,0,3,0,0
unjustifiably, 13, 11, 11, 0, i n b s l a f t j u y,0,4,2,0
unjustified, 11, 9, 3, 0, e i s,0,5,2,0
unjustly, 8, 7, 9, 4, e i a o u y l t s,0,7,4,0
unjustness, 10, 6, 3, 0, e s n,0,6,3,0
unkempt, 7, 7, 6, 4, e a i o u r,0,5,3,0
unkept, 6, 6, 6, 3, e s n u l a,0,10,7,0
unkind, 6, 5, 8, 3, e a i n u d w k,0,20,16,3
unkindest, 9, 8, 4, 0, e s t i,0,6,2,0
unkindly, 8, 7, 4, 2, e i a n,0,6,4,0
unkindness, 10, 7, 3, 0, e s n,0,6,3,0
unknightly, 10, 9, 5, 3, e i a s l,0,6,3,0
unknowable, 10, 9, 6, 1, e a l b o p,0,6,2,0
unknowing, 9, 7, 3, 1, e i n,0,6,3,0
unknowingly, 11, 9, 3, 1, e i n,0,5,3,0
unknown, 7, 5, 6, 3, e i a o u n,0,6,4,0
unknowns, 8, 6, 5, 3, e i a o u,0,6,4,0
unlabelled, 10, 7, 6, 1, e r n d u a,0,8,5,0
unlace, 6, 6, 5, 0, e l a c n,0,10,6,0
unlaced, 7, 7, 7, 2, e r d l i a c,0,10,6,0
unlacing, 8, 7, 7, 1, e i n g u a c,0,10,6,0
unladen, 7, 6, 5, 2, e r d s l,0,6,3,0
unladylike, 10, 9, 3, 0, e a i,0,5,2,0
unlamented, 10, 8, 7, 2, e r n u d l s,0,4,1,0
unlatching, 10, 9, 6, 1, e i n g u a,0,6,2,0
unlawful, 8, 6, 6, 3, e i a r n u,0,6,4,0
unlawfully, 10, 7, 5, 3, e i o a l,0,6,4,0
unlawfulness, 12, 8, 4, 1, i e s n,0,3,1,0
unleaded, 8, 6, 3, 0, e d n,0,7,4,0
